,title,0-incident/single patient 1-awareness/campaign,score
0,Juvenile users of Chinese gay app contract HIV,0.0,0.06535297
1,21dcangr-ctte-cGNE54S5ME3jpgjpg,1.0,0.74127805
2,A year that saw Tamil Nadu's health sector stained by transfusion blot,1.0,0.6296007
3,‘Many combination drugs not approved by regulator’,0.0,0.087785706
4,HIV reality check,0.0,0.12520814
5,Madurai Today,1.0,0.8333164
6,"Letters to the Editor - January 1, 2019",1.0,0.8046662
7,"A long, tiring journey no longer",1.0,0.87084913
8,‘Lacunae in blood collection will be fixed’,1.0,0.6902698
9,"Sandesha awards for Prasanna, Rohini",1.0,0.8974574
10,Viral Load Testing machine commissioned in hospital,0.0,0.07171032
11,Fear of HIV drives villagers to empty only water source,1.0,0.7861747
12,‘Drop in prevalence of HIV’,0.0,0.38233113
13,Opioid painkiller ban sees spurt in heroin seizures in Mizoram,0.0,0.056421585
14,Fighting the double stigma,0.0,0.13360181
15,Correction,0.0,0.2512755
16,HIV prevalence rate declines in Coimbatore,0.0,0.24935591
17,"Morning digest: Gauri murder probe unravels conspiracy, Baghel outlines plans for Chhattisgarh, and more",1.0,0.70056236
18,th01cityHIVcol,1.0,0.7412789
19,Thrissur1RegiGH652AU043jpgjpg,1.0,0.7412727
20,AIDSjpg,1.0,0.741315
21,"World AIDS Day: in India about 120,000 were living with HIV in 2017",1.0,0.6601841
22,AIDS: year-long programmes for State,1.0,0.8427677
23,Time to ‘know your HIV status’,0.0,0.32823652
24,What you should know about the flu shot,1.0,0.8708135
25,What you should know about the flu shot,1.0,0.87081504
26,World AIDS Day,1.0,0.8749907
27,World AIDS Day,1.0,0.87499076
28,"Street plays, rallies mark World AIDS Day",1.0,0.9374811
29,Telangana takes a positive move,0.0,0.16218801
30,HY02REDRIBBONRUN,1.0,0.74128044
31,HIVAIDSTHNAK,1.0,0.74131614
32,TANSACS to launch community-based testing,1.0,0.6727215
33,Against a scourge,1.0,0.749004
34,City youth falling prey to HIV,0.0,0.1202305
35,‘Don’t shy away from knowing your status’,0.0,0.086355135
36,"News in Numbers: India’s HIV load, Maratha reservation, and more",0.0,0.08535159
37,Heroin seizures rise in Mizoram after ban on opioid painkillers,0.0,0.06356844
38,State takes a positive move,0.0,0.17629318
39,Red alert,1.0,0.80896735
40,‘Will try to extend health scheme benefits to affected persons’,0.0,0.18707317
41,"Street plays, rallies mark World AIDS Day",1.0,0.9374811
42,AIDS: year-long programmes for State,1.0,0.84278333
43,Need to bring down HIV cases in State: AU V-C,0.0,0.45714793
44,Take utmost care to stop spread of HIV/AIDS: Judge,1.0,0.9325311
45,Cases decline due to awareness: Official,0.0,0.25043213
46,01hymmm01-QualiG6O52F3R33jpgjpg,1.0,0.74127907
47,The struggle is real,1.0,0.8327418
48,The struggle is real,1.0,0.8327416
49,Various events mark World AIDS Day,1.0,0.9270561
50,01decTVLWorldGF052ELBB3jpgjpg,1.0,0.74127847
51,Awareness events mark World AIDS Day in Coimbatore,1.0,0.93748677
52,Migrant workers still out of reach of HIV screening,0.0,0.42396265
53,th02-kra-standaGCT52FC9J2jpgjpg,1.0,0.7413169
54,The struggle is real,1.0,0.8327419
55,04bg-HIV-tankGG8D52T1CJ4jpgjpg,1.0,0.7412821
56,04bg-HIV-tankAG8D52T1CJ5jpgjpg,1.0,0.74127877
57,‘Crashes can be prevented’,1.0,0.8304197
58,Jaya panel examines neurologist,1.0,0.766812
59,Transgenders protest before police station,1.0,0.5005664
60,‘Crashes can be prevented’,1.0,0.83042186
61,Transgenders protest before police station,1.0,0.5005664
62,The struggle is real,1.0,0.8327418
63,‘Many combination drugs not approved by regulator’,0.0,0.087787114
64,Lean out is the new lean in,0.0,0.12557802
65,Lean out is the new lean in,0.0,0.12557738
66,Queer art festival held,1.0,0.89946765
67,Queer art festival held,1.0,0.89946765
68,Lean out is the new lean in,0.0,0.1255785
69,Lean out is the new lean in,0.0,0.12557715
70,ENGAGEMENTS,0.0,0.25037667
71,Seven doctors held for dirty dancing,0.0,0.27231646
72,Lean out is the new lean in,0.0,0.1255778
73,Lean out is the new lean in,0.0,0.12557855
74,Pregnant woman tests positive for HIV after blood transfusion,0.0,0.062513314
75,Woman gets HIV after blood transfusion,0.0,0.08334943
76,Pregnant woman tests positive for HIV after blood transfusion in Tamil Nadu,0.0,0.051151376
77,Biotech Research Society honours professors,1.0,0.91593695
78,HIV testing,0.0,0.16670111
79,Migrant workers still out of reach of HIV screening,0.0,0.4239764
80,nd02-hivGU152IG0L52JCDS3jpgjpg,1.0,0.7412716
81,"Don’t let the germs win, read this guide",1.0,0.6503352
82,The boundaries of ethics,1.0,0.83155805
83,The boundaries of ethics,1.0,0.83155805
84,WHO wants panel to study gene editing,0.0,0.08829077
85,"After HIV scare, villagers emptying tank",0.0,0.28282908
86,Fear of HIV drives villagers to empty only water source,1.0,0.7861735
87,HIV blood transfusion to pregnant woman: 3 TN hospital employees dismissed,0.0,0.04714224
88,"HIV case: unnamed doctors, nurses booked",0.0,0.07260673
89,"HIV case: doctors, nurses booked",0.0,0.0834645
90,State govt. to give ‘high quality’ treatment to HIV-infected woman,0.0,0.056576364
91,Transfusion of HIV infected blood: TN govt. to give ‘high quality’ treatment to pregnant woman,0.0,0.038704537
92,TH27HIVINFECTEDWOMAN,1.0,0.74127364
93,26decmassr1HIG7656870M3jpgjpg,1.0,0.74127066
94,Shocking callousness,0.0,0.17701225
95,Woman tests positive for Hepatitis B,0.0,0.083389424
96,"NHRC seeks report from Centre, State government",0.0,0.07429834
97,HC takes up case of woman getting HIV-positive blood,0.0,0.07378658
98,HIV awareness programme for students,1.0,0.6771031
99,Second screening of blood bags in govt. hospitals over,0.0,0.24633355
100,Blood bank inspected,0.0,0.1301147
101,"Top news of the day: LS debates Triple Talaq Bill, 2 sailors killed at Kochi naval air station, and more",1.0,0.84224945
102,"Morning Digest: BJP appoints campaign managers for 2019 elections, Gauri, Pansare kin to oppose CBI probe, and more",1.0,0.63475573
103,HIV reality check,0.0,0.1252082
104,"NHRC issues notices to Centre, Tamil Nadu government",0.0,0.21639624
105,"NHRC seeks report from Centre, State government",0.0,0.07430126
106,Madras HC takes up case of woman getting HIV-positive blood,0.0,0.06417695
107,A tragedy that deserves an intense investigation,0.0,0.103052996
108,"NHRC issues notices to Centre, Tamil Nadu government",0.0,0.21639381
109,‘Lacunae in blood collection will be fixed’,1.0,0.69027084
110,She tests positive for hepatitis-B too,0.0,0.12594399
111,Blood transfusion: 200 years on,0.0,0.103071496
112,Stalin demands dismissalof Health Minister,1.0,0.5818243
113,HIV donor’s death: more doctors to do post mortem,0.0,0.108397305
114,SHRC seeks report on Sattur blood transfusion incident,0.0,0.06345266
115,Anchored in human rights,0.0,0.13230458
