name,date,location,Lat,Long
A year that saw Tamil Nadu's health sector stained by transfusion blot,"December 30, 2018",Tamil Nadu,11.127123,78.656891
Madurai Today,"January 05, 2019",TAMIL NADU,11.127123,78.656891
"A long, tiring journey no longer","December 16, 2018",KERALA,10.850516,76.27108
â€˜Lacunae in blood collection will be fixedâ€™,"December 28, 2018",TAMIL NADU,11.127123,78.656891
"Sandesha awards for Prasanna, Rohini","December 05, 2018",KARNATAKA,15.317277,75.71389
Viral Load Testing machine commissioned in hospital,"December 03, 2018",TAMIL NADU,11.127123,78.656891
Fear of HIV drives villagers to empty only water source,"December 05, 2018",Karnataka,15.317277,75.71389
â€˜Drop in prevalence of HIVâ€™,"December 02, 2018",TAMIL NADU,11.127123,78.656891
Fighting the double stigma,"December 01, 2018",MUMBAI,19.075983,72.877655
Correction,"December 01, 2018",TAMIL NADU,11.127123,78.656891
HIV prevalence rate declines in Coimbatore,"December 01, 2018",TAMIL NADU,11.127123,78.656891
th01cityHIVcol,"December 01, 2018",Chennai,13.08268,80.270721
Thrissur1RegiGH652AU043jpgjpg,"December 01, 2018",KERALA,10.850516,76.27108
AIDS: year-long programmes for State,"December 01, 2018",Thiruvananthapuram,8.524139,76.936638
Time to â€˜know your HIV statusâ€™,"December 01, 2018",TELANGANA,17.874821,79.521004
"Street plays, rallies mark World AIDS Day","December 01, 2018",Vijayawada,16.506174,80.648018
Telangana takes a positive move,"December 01, 2018",Hyderabad,17.385044,78.486671
HY02REDRIBBONRUN,"December 01, 2018",Hyderabad,17.385044,78.486671
TANSACS to launch community-based testing,"December 01, 2018",TAMIL NADU,11.127123,78.656891
Against a scourge,"December 01, 2018",KERALA,10.850516,76.27108
City youth falling prey to HIV,"December 01, 2018",ANDHRA PRADESH,15.9129,79.73999
â€˜Donâ€™t shy away from knowing your statusâ€™,"December 01, 2018",ANDHRA PRADESH,15.9129,79.73999
State takes a positive move,"December 02, 2018",TELANGANA,17.874821,79.521004
Red alert,"December 02, 2018",TAMIL NADU,11.127123,78.656891
â€˜Will try to extend health scheme benefits to affected personsâ€™,"December 02, 2018",KARNATAKA,15.317277,75.71389
"Street plays, rallies mark World AIDS Day","December 02, 2018",ANDHRA PRADESH,15.9129,79.73999
