Title,Date
"Harry, Markle pick Mumbai charity for wedding gift donations09 Apr 2018 | 9:37 PMLONDON: Britain’s Prince Harry and Meghan Markle have chosen a charity working for women in Mumbai’s slums among a handful of organisations unveiled on Monday that will become recipients of donations in place of gifts for their royal wedding next month/",09/04/2018
"Prostitution goes hi-tech in Kerala: Study08 Apr 2018 | 2:22 PMTHIRUVANANTHAPURAM: Prostitution in Kerala has turned hi-tech with business transactions being carried out via smartphones and apps, according to a new study/ The findings were revealed in a study conducted by the Kerala State Aids Control Society along with NGOs/",08/04/2018
"NIA to investigate human trafficking cases soon28 Feb 2018 | 5:06 PMNEW DELHI: With Union Cabinet giving its nod on Wednesday to a draft Trafficking of Persons (Prevention, Protection and Rehabilitation) Bill, the National Investigation Agency will soon become the nodal authority for investigating cases of human trafficking/",28/02/2018
"23 inmates of Gorakhpur jail test HIV positive27 Feb 2018 | 9:12 PMGORAKHPUR: Twenty-three inmates of the Gorakhpur District Jail have been found to be HIV positive in the past eight months and are being treated at a hospital here, an official said on Tuesday/",27/02/2018
Free viral load testing a year for HIV+ve27 Feb 2018 | 2:04 AMNEW DELHI:Health Minister JP Nadda today launched free viral load testing services for People Living with HIV/AIDS (PLHIV)/,27/02/2018
"Health index: Punjab 2nd best, Kerala tops10 Feb 2018 | 1:41 AMNEW DELHI: Kerala, Punjab and Tamil Nadu have emerged frontrunners in the first-ever ranking of states on health outcomes, indicating robust local systems that help them stand out among the rest/",10/02/2018
"Quack accused of infecting scores with HIV in Unnao arrested07 Feb 2018 | 8:29 PMUNNAO (UP): A quack, who allegedly infected 46 people in this district with the dreaded HIV over the last 10 months using the same syringe to administer injections, was nabbed on Wednesday, police said/",07/02/2018
"UP quack infects 46 with HIV07 Feb 2018 | 1:38 AMUNNAO (UP): At least 46 persons have been infected with HIV in a tehsil here in the last 10 months, allegedly after a quack used a common syringe to administer injections, prompting the state government to intensify efforts to nab the culprit/",07/02/2018
"46 infected with HIV, says Unnao CMO; quack who used common syringe booked06 Feb 2018 | 11:01 AMUNNAO: At least 46 people were found infected with HIV at a tehsil in this district in the last 10 months, after which a quack was booked over the allegation that his use of a common syringe to administer injections led to the spurt in such cases, an official said today/",06/02/2018
"Aadhaar project threatens rights: Amnesty International13 Jan 2018 | 2:12 PMBENGALURU/NEW YORK: The Aadhaar project could lead to millions of people being denied access to essential services and benefits in violation of their human rights, Amnesty International India and Human Rights Watch said on Saturday/",13/01/2018
R’sthan HC notice to Centre over curb on condom ads21 Dec 2017 | 1:54 AMJAIPUR: The Rajasthan High Court issued a notice to the central government today seeking to know the reasons behind its decision to bar airing of condom advertisements on TV channels between 6 am and 10 pm/,21/12/2017
Rajasthan HC notice to Centre over curb on condom ads on TV20 Dec 2017 | 5:02 PMJAIPUR: The Rajasthan High Court issued a notice to the Central Government on Wednesday seeking to know the reasons behind its decision to bar airing of condom advertisements on TV channels between 6 am and 10 pm/,20/12/2017
