name,date,location,category,body
Chandigarh: NSS camp begins at KBDAV,2018-12-26,CHANDIGARH,"News,City News,Chandigarh News","CHANDIGARH: The 16th NSS week-long camp took off at KBDAV–7. The camp has the presence of 56 NSS volunteers. The day opened on a session by the Programme Officer, NSS Unit, Arvita Kaur who apprised the NSS volunteers of all the activities that are to be undertaken during the week-long camp. She showed a PPT on the programme, especially that showed the NUKKAD NAATAK that is performed every year on various sensitive issues like saving girl child, and drug addiction.This was followed by a session by Sunil Paangal, programmer from AIDS Control Society, UT Chandigarh who talked on sensitive issue of AIDS, HIV and their prevention, and perpetuation of awareness. He stressed on the causes of acquiring AIDS the most common of which are unsafe sex with an infected partner and transfusion of infected blood. He removed certain assumptions about AIDS and HIV which infect the minds of the youngins.Next was a session by Madhu Bala, Programme Officer, NSS Cell, UT Chandigarh who informed the NSS volunteers about the Youth Parliament. She also talked at length about the role of NSS in their lives and how they can capitalize on being the NSS volunteers and benefit the society. She talked of the motto of NSS. The volunteers should be ready to serve the society 24/7, she said.Also under the guidance of the Yoga expert Anurag Arora the Volunteers refreshed themselves from stress by performing Yoga. Volunteers were enriched about the various benefits of doing YOGA. Surya namasar, Kapal bhatti and many more were on the list. With the popular shav-asana the session ended. Volunteers enthusiastically participated and this exercise of shaping body and mind was very fruitful for them.The presentation by the Traffic police personnel Wing Commander Jaswant Singh Khokahar reflected the callous attitude of the civilians while driving. It stressed upon the need of following the Traffic rules and the guidelines laid down by the Traffic police to maintain law and order and create safer roads for our children."
Number of HIV cases increasing among young: Expert,2018-12-01,NAGPUR,"News,City News,Nagpur News","NAGPUR: While incidence of HIV has reduced all over the world, terminally marginalized population remains largely undiagnosed.This year, theme for World Aids Day is ‘Know Your (HIV) Status’. Dr Milind Bhrushundi of Central India Institute of Infectious Diseases and Research Nagpur, said, “We are targeting those who have not been tested. Since symptoms of HIV are dormant for over five years, many are not aware if they have HIV, and the only way for them is to get tested. We need to reach out to high risk population — most of whom are homosexuals and transgenders.”It is also worrisome to note instances of HIV is increasing in the age group of 15-24 years as people are more concerned about pregnancy than the child. Emergency contraceptive pills and the Internet have proven to be a problem. Also, there have been cases in which people on second line of drugs don’t take medications seriously. Alcoholism and drug abuse are significant factors, he added.A 90-90-90 programme by UNAIDS aims that by 2030, there should be a 90% reduction in the number of patients, 90% reduction in new cases and 90% less deaths. Targeted intervention projects to treat those at high risk are need of the hour.Former senior medical officer at ART centre of GMC stated that even today, the same four causes are responsible for HIV patients as those many years ago — unprotected sex and multiple sex partners , parent to child transmission, blood transfusion and unsterilized needles.“New technology is not yet available in government hospitals. Since HIV antigen takes about six months to develop, an anti-body test does not identify the antigen. And if the affected person donates blood within those six months, the antigen will be passed to the blood banks,” she said, adding that about 20 lakh patients have been taking medicine free of cost at GMC. “Earlier, 1000 new cases were identified every month, but they have now reduced to under 100,” she added.“Positive cases of HIV have reduced due to expansion of our units and increase in awareness. There has been a rise in people taking the test and antenatal check-up as well. We have started mobile vans and even issued bus passes for patients, apart from giving free treatment and drugs,” said Tanuja Fale, Programme Manager, District Aids Prevention and Control Unit."
Tamarind seeds has antiviral properties and can potentially be used to develop antiviral medication for chikungunya,2018-11-14,NEW DELHI,"News,India News","NEW DELHI: Tamarind seeds has antiviral properties and can potentially be used to develop antiviral medication for chikungunya, finds IIT, Roorkee researchers. During the research, antiviral activity of the tamarind seed lectin has been shown by techniques such as luciferase-based assay, plaque reduction assay and real-time PCR. Not only did the chikungunya virus lose 64% of is infectivity on treatment with the lectin, but the levels of viral RNA in the cells were also found to reduce to nearly 45%.The findings have recently been published in the Elsevier journal, Virology. The research group at IIT Roorkee has filed a patent for an antiviral composition containing this tamarind antiviral protein. The researchers are now developing tamarind-based therapeutic agents for chikungunya.Alphaviruses cause mild to severe viral diseases in human beings and animals and are usually transmitted by mosquitoes. The chikungunya virus is an alphavirus that causes high fever and severe joint pain.Professors Shailly Tomar and Pravindra Kumar from the Department of Biotechnology, have shown that a protein found in tamarind seeds has antiviral properties.“Antiviral drugs and vaccines against most alphaviruses, including chikungunya are still not available in the market, and preventive measures are currently the only route to managing diseases caused by such viruses,” said Tomar, on the importance of developing antiviral therapeutics.Chikungunya and other alphaviruses are made of a single strand of RNA that is enveloped in a capsule. The outmost layer of capsule consists of glycoproteins having glycans, a form of sugar. Through these sugar moieties viruses attach to the host cell receptors and enter the cells, causing infections.An antiviral drug that is able to block the interaction of alphaviruses with the host cell and thus should inhibit the virus. In biological systems, antibodies bind to the viral surface glycans (sugar) and glycoproteins and prevent entry of the virus into the host cells. Thus, research on developing antiviral drugs have largely focused on developing sugar-binding molecules that can mimic the action of biological antibodies.Lectin, a diverse group of proteins derived from plant sources, are known to bind to glycan sugars. The use of lectin as antiviral has been extensively studied for a range of viruses, including the HIV and HPV. Tomar and Kumar have shown that a lectin derived from tamarind seeds bind to glycans/ sugar molecules having N-acetylglucosamine (NAG) on the capsule of viruses, thereby preventing the entry of the virus into the host cells. Chikungunya glycoproteins have NAG, which makes the tamarind-derived lectin a promising agent against this virus.“Tamarind is known for various medicinal properties in India and is an excellent Ayurvedic food. The fruits, seeds, leaves and roots bark of the tamarind tree have been used to treat abdominal pain, diarrhoea and dysentery, bacterial infections and parasitic infestations, wounds, constipation and inflammation,” said the researchers. They have isolated lectin from tamarind seeds using chromatography and have studied the binding of the lectin molecules to the glycan in the viral capsule by a process called Enzyme-Linked ImmunoSorbent Assay (ELISA). Antiviral activity of the tamarind seed lectin has been shown by techniques such as luciferase-based assay, plaque reduction assay and real-time PCR. Not only did the chikungunya virus lose 64% of is infectivity on treatment with the lectin, but the levels of viral RNA in the cells were also found to reduce to nearly 45%.“This study has, for the first time, evaluated the antiviral use of tamarind seed-derived lectin having specificity for NAG and assessed its ability to block the entry step of the virus,” said Tomar."
Tamarind seeds has antiviral properties and can potentially be used to develop antiviral medication for chikungunya,2018-11-14,NEW DELHI,"News,Education","NEW DELHI: Tamarind seeds has antiviral properties and can potentially be used to develop antiviral medication for chikungunya , finds IIT, Roorkee researchers. During the research, antiviral activity of the tamarind seed lectin has been shown by techniques such as luciferase-based assay, plaque reduction assay and real-time PCR.Not only did the chikungunya virus lose 64% of is infectivity on treatment with the lectin, but the levels of viral RNA in the cells were also found to reduce to nearly 45%. The findings have recently been published in the Elsevier journal, Virology. The research group at IIT Roorkee has filed a patent for an antiviral composition containing this tamarind antiviral protein. The researchers are now developing tamarind-based therapeutic agents for chikungunya.Alphaviruses cause mild to severe viral diseases in human beings and animals and are usually transmitted by mosquitoes. The chikungunya virus is an alphavirus that causes high fever and severe joint pain.Professors Shailly Tomar and Pravindra Kumar from the Department of Biotechnology, have shown that a protein found in tamarind seeds has antiviral properties. ""Antiviral drugs and vaccines against most alphaviruses, including chikungunya are still not available in the market, and preventive measures are currently the only route to managing diseases caused by such viruses,"" said Tomar, on the importance of developing antiviral therapeutics.Chikungunya and other alphaviruses are made of a single strand of RNA that is enveloped in a capsule. The outmost layer of capsule consists of glycoproteins having glycans, a form of sugar. Through these sugar moieties viruses attach to the host cell receptors and enter the cells, causing infections. An antiviral drug that is able to block the interaction of alphaviruses with the host cell and thus, should inhibit virus. In biological systems, antibodies bind to the viral surface glycans (sugar) and glycoproteins and prevent entry of the virus into the host cells. Thus, research on developing antiviral drugs have largely focused on developing sugar-binding molecules that can mimic the action of the biological antibodies.Lectin, a diverse group of proteins derived from plant sources, are known to bind to glycan sugars. The use of lectin as antiviral has been extensively studied for a range of viruses, including the HIV and HPV. Tomar and Kumar have shown that a lectin derived from tamarind seeds bind to glycans/ sugar molecules having N-acetylglucosamine (NAG) on the capsule of viruses, thereby preventing the entry of the virus into the host cells. Chikungunya glycoproteins have NAG, which makes the tamarind-derived lectin a promising agent against this virus.""Tamarind is known for various medicinal properties in India and is an excellent Ayurvedic food. The fruits, seeds, leaves and roots bark of the tamarind tree have been used to treat abdominal pain, diarrhoea and dysentery, bacterial infections and parasitic infestations, wounds, constipation and inflammation,"" said the researchers. They have isolated lectin from tamarind seeds using chromatography and have studied the binding of the lectin molecules to the glycan in the viral capsule by a process called Enzyme-Linked ImmunoSorbent Assay ( ELISA ). Antiviral activity of the tamarind seed lectin has been shown by techniques such as luciferase-based assay, plaque reduction assay and real-time PCR. Not only did the chikungunya virus lose 64% of is infectivity on treatment with the lectin, but the levels of viral RNA in the cells were also found to reduce to nearly 45%.""This study has, for the first time, evaluated the antiviral use of tamarind seed-derived lectin having specificity for NAG and assessed its ability to block the entry step of the virus,"" said Tomar."
Children’s home guard not guilty of sodomising HIV+ boy,2018-11-15,NEW DELHI,"News,City News,Delhi News,Crime","NEW DELHI: Terming it a “classic” and “unsolved” mystery , the Delhi high court acquitted a security guard of a children’s home of the charge of repeatedly sodomising minor orphan boy who is HIV positive Justice C Hari Shankar reversed the trial court’s verdict awarding 10-year jail to the accused, saying it would be a ""travesty of justice"" to convict him of having committed such an “unsolved” crime. The high court, in its 69-page judgement, noted that while the child was HIV positive, accused Amardeep Kujur tested negative and noted that there were allegations that the child was sexually assaulted multiple times. It underlined that the possibility of non-transmission of the HIV virus to the accused would be remote and disagreed with the trial court’s finding that it was not necessary that the HIV virus would, in every case of sexual contact, be transmitted from partner to partner.Justice Shankar observed that the trial judge “ignored the above two facts, apparent from the evidence, i.e., firstly, that the child had suffered mucosal tears in the private parts and, secondly, that the man was alleged to have repeatedly sexually assaulted the child. Sexual contact is, it is well known, the primary mode by which HIV virus is transmitted.”In the judgement, the high court said the mystery of how the assaulter entered the room where the minor was sleeping, and sodomised him day after day, remained unanswered. “The situation, in the present case, remains a classic, and unsolved ‘locked room mystery’, even while the man stands convicted and sentenced (by the trial court). This is entirely impermissible in law,” HC noted.While the child's father was in jail, his mother had died of HIV and, as there was not nobody to look after him, he was sent to the children home for boys."
Activists irked by RCEP talks over pharma patents,2018-11-15,MUMBAI,"News,BUSINESS NEWS,India Business News","MUMBAI: Public health activists and patient groups have raised serious concerns over intellectual property (IP) provisions in the ongoing negotiations of the Regional Comprehensive Economic Partnership (RCEP), charging Japan and South Korea of pushing a TRIPS-plus regime that would expand and extend monopolies for pharma MNCs, and undermine generic competition. This, in effect, would impact generic competition that is critical for lowering medicines’ prices, and hence keep them unaffordable for millions of patients across the developing world.By resisting constant pressure in the past and safeguarding its generic industry, India — often referred to as ‘a pharmacy of the developing world’, has become a leading global supplier of affordablegeneric medicines for HIV, TB, malaria and other infectious diseases.In a letter to Union commerce and industry minister Suresh Prabhu , activists say if the proposed provisions are accepted, it will be a major setback for public health safeguards under Indian patent laws. Japan and South Korea reportedly continue to push India and Asean member states to agree to IP provisions that expand and introduce new monopolies for pharmaceutical corporations, including data exclusivity, patent term extension and stringent IP enforcement.These provisions are referred to as TRIPS-plus, and go beyond India’s obligations under the World Trade Organization’s agreement on the Trade Related Aspect of Intellectual Property Rights, or TRIPS, according to industry experts."
Zika scare: MP violates blood donation norms,2018-11-16,BHOPAL,"News,City News,Bhopal News,Civic Issues","BHOPAL: Confusion prevails over guidelines framed to check the spread of Zika infection and blood donation. The Union government’s national blood transfusion council (NBTC) guidelines state to disqualify donation of blood by a Zika-infected person at least for four months. On the other hand, MP is permitting blood donation after four weeks only.The vector-borne disease has spread its tentacles to one more district— Hardataking the total number of affected districts to eight.On Thursday, 32 samples were tested out of which three were found positive for Zika fever and all positive cases were from Bhopal.“Those, who have been diagnosed for Zika fever, should not be allowed to donate blood for at least one month and those who visited the places affected by Zika should also refrain from blood donation for about two weeks,” said MP health department joint director Dr Rakesh Mushi. He said it to be from an MP health department Zika alert circular issued in 2016.NBTC’s donor selection, referral guidelines and circular issued on October 2017 directed blood banks across the country not to accept blood from people, who have visited Zika-affected or Zikainfected. It states: “In case of Zika infection, defer for four months following recovery. In case of history of travel to endemic Zika virus outbreak zone, the same protocol is followed.”Zika virus is a new challenge for blood transfusion, according to a study published in The Lancet.Unlike other vector-borne ailment like dengue and chikungunya , Zika virus can be spread by blood transfusion and sexual intercourse.With over 100 Zika cases already diagnosed in MP, blood transfusion and possible transmission of Zika is a clear and presents threat, said experts. “As per the protocol, we do not accept a donor, with a history of fever and other recent sickness,” said Gandhi Medical College blood bank in-charge, Dr U M Sharma.The post-surveillance programmes are important to detect Zika virus infections among the blood donors, as surveillance can only detect blood donors with the disease.Currently, a mandatory check for a blood donor does not include Zika infection. Blood donors are checked for hepatitis B , hepatitis C, HIV/AIDS, syphilis and malaria"
Zydus Cadila gets USFDA nod to market generic HIV treatment tablets,2018-11-16,"New Delhi, Nov 16 () Drug firm Zydus Cadila Friday said it has received final approval from the US health regulator to market generic Abacavir and Lamivudine tablets used for treatment of a type of HIV infection.

The company also said in the regulatory filing that it had received final approval from the United States Food and Drug Administration (USFDA) to market generic Fondaparinux Sodium injection.

The approval from the USFDA is for Abacavir and Lamivudine tablets USP in the strength of 600 mg/300 mg, Zydus Cadila said.

The tablets are used with other antiretroviral medicines to treat human immunodeficiency virus-type 1 (HIV-1) infection that causes acquired immune deficiency syndrome (AIDS), it added.

""The product will be manufactured at the group's formulations manufacturing facility at special economic zone (SEZ), Ahmedabad,"" Zydus Cadila said.

The nod for the Fondaparinux Sodium injection USP is in the strengths of 2.5 mg/0.5 mL, 5 mg/0.4 mL, 7.5 mg/0.6 mL and 10 mg/0.8 mL single-dose, it added.

Fondaparinux Injection is used to treat blood clots in deep veins and the lungs. It can also be used to prevent blood clots in patients undergoing certain types of surgeries, Zydus Cadila said.

""It will be manufactured at a partner's manufacturing site,"" it added.

The group now has more than 230 approvals and has so far filed over 330 abbreviated new drug applications (ANDAs) since the commencement of its filing process, Zydus Cadila said.

Shares of Cadila Healthcare, the listed entity of the group, were trading at Rs 357.80 per scrip on BSE, down 0.54 per cent from their previous close. AKT ANS","News,BUSINESS NEWS,India Business News","New Delhi, Nov 16 () Drug firm Zydus Cadila Friday said it has received final approval from the US health regulator to market generic Abacavir and Lamivudine tablets used for treatment of a type of HIV infection.

The company also said in the regulatory filing that it had received final approval from the United States Food and Drug Administration (USFDA) to market generic Fondaparinux Sodium injection.

The approval from the USFDA is for Abacavir and Lamivudine tablets USP in the strength of 600 mg/300 mg, Zydus Cadila said.

The tablets are used with other antiretroviral medicines to treat human immunodeficiency virus-type 1 (HIV-1) infection that causes acquired immune deficiency syndrome (AIDS), it added.

""The product will be manufactured at the group's formulations manufacturing facility at special economic zone (SEZ), Ahmedabad,"" Zydus Cadila said.

The nod for the Fondaparinux Sodium injection USP is in the strengths of 2.5 mg/0.5 mL, 5 mg/0.4 mL, 7.5 mg/0.6 mL and 10 mg/0.8 mL single-dose, it added.

Fondaparinux Injection is used to treat blood clots in deep veins and the lungs. It can also be used to prevent blood clots in patients undergoing certain types of surgeries, Zydus Cadila said.

""It will be manufactured at a partner's manufacturing site,"" it added.

The group now has more than 230 approvals and has so far filed over 330 abbreviated new drug applications (ANDAs) since the commencement of its filing process, Zydus Cadila said.

Shares of Cadila Healthcare, the listed entity of the group, were trading at Rs 357.80 per scrip on BSE, down 0.54 per cent from their previous close. AKT ANS"
Awareness programme for adolescents,2018-11-17,CHANDIGARH,"News,City News,Chandigarh News,Civic Issues","CHANDIGARH: In a bid to educate students, the Chandigarh State AIDS Control Society, in collaboration with other organisations including Inner Wheel Club of Chandigarh Midtown, Indian Council of Social Welfare, IMA's Mission Pink Health, and the Department of School Education, launched a series of awareness programme for school going teenagers.The programme will encompass issues such as difference between gender and sex, prevention of child abuse, tips on personal hygiene, menstruation , reproductive health, good and bad touch, self care, prevention of HIV/AIDS and life skill education for adolescents in schools."
'HIV is a sin that needs to be tackled by God's rule',2018-11-19,AIZAWL,"News,City News,Guwahati News","AIZAWL: Mizoram has the highest prevalence of HIV among adults in the country. But the Zoram Thar or New Mizoram, a spiritual group fielding candidates for the Mizoram polls headed by evangelist-turned politician Reverend Zaichhawna Hlawndo has a different take on the problem and its solution.Hlawndo said that the problem of HIV in Mizoram is a sin that can only be tackled when God’s rule is established.""I am telling people that when people disobey God, they commit sins. You and I can do nothing to tackle the problem of HIV. But only God can eliminate the menace of HIV. For this to happen, our duty is to make sure that people who will rule are godly men and women,” saidHlawndo, who returned from UK in 2017 and joined the electoral fray as a 'divine call'.He added that the path of evils brings down the afflictions like HIV.According to National AIDS Control Organisation’s 2017 estimation, Mizoram at 2.04 per cent has the highest HIV prevalence rate in the country, followed by Manipur (1.43 per cent) and Nagaland (1.15 per cent). At the national level, the prevalence rate is 0.22 per cent and it is said to be declining.Mizoram’s population is about 11 lakh and about 18,081 were found to be HIV positive between October 1990 and August this year. In Mizoram, the trend of HIV positive cases is on the rise.""Therefore if we have to make things right, our minds and hearts have to be right. I mean we have to shun the path of evil and embrace the path of God,"" Hlawndo said, adding that his party is for bringing in moral transformation, rather than material reforms.Hlawndo’s party has fielded 24 candidates for the 40-member assembly polls on November 28. Hlawndo is contesting from two seats--- in Serchhip he is pitted against chief minister Lal Thanhawla and in Aizawl West-I.He prefers to call his party candidates including himself as 'apostles' of ""moral transformation"" for Mizoram. Among the 24 candidates who are contesting as Independents, there are three women, including Hlawndo's two daughters.In his meetings, Hlawndo says his part's intention is not to be the rulers, but servants of God. ""God is going to make the nation. We will serve as his servants,"" he said. As an evangelist, Hlawndo has a strong followers in the Christian-majority state.If Hlawndo has the theological solution to the problem of HIV, the ruling Congress and the opposition Mizo National Front (MNF) have virtually failed to make it a major health issue in the current election.""Our manifesto focuses on the health issues in a comprehensive way which also includes HIV. If we come to power, the problem of HIV will be dealt with in an effective way,"" Congress spokesperson, Lallian Chhunga said.MNF chief and party's chief ministerial candidate, Zoramthanga said it was Congress government’s failure to check the spread of HIV. ""HIV issue is a serious one. We will deal with it seriously when we are in power,"" Zoramthanga said."
