	Title
0	Juvenile users of Chinese gay app contract HIV
1	21dcangr-ctte-cGNE54S5ME3jpgjpg
2	A year that saw Tamil Nadu's health sector stained by transfusion blot
3	‘Many combination drugs not approved by regulator’
4	HIV reality check
5	Madurai Today
6	Letters to the Editor - January 1, 2019
7	A long, tiring journey no longer
8	‘Lacunae in blood collection will be fixed’
9	Sandesha awards for Prasanna, Rohini
10	Viral Load Testing machine commissioned in hospital
11	Fear of HIV drives villagers to empty only water source
12	‘Drop in prevalence of HIV’
13	Opioid painkiller ban sees spurt in heroin seizures in Mizoram
14	Fighting the double stigma
15	Correction
16	HIV prevalence rate declines in Coimbatore
17	Morning digest: Gauri murder probe unravels conspiracy, Baghel outlines plans for Chhattisgarh, and more
18	th01cityHIVcol
19	Thrissur1RegiGH652AU043jpgjpg
20	AIDSjpg
21	World AIDS Day: in India about 120,000 were living with HIV in 2017
22	AIDS: year-long programmes for State
23	Time to ‘know your HIV status’
24	What you should know about the flu shot
25	What you should know about the flu shot
26	World AIDS Day
27	World AIDS Day
28	Street plays, rallies mark World AIDS Day
29	Telangana takes a positive move
30	HY02REDRIBBONRUN
31	HIVAIDSTHNAK
32	TANSACS to launch community-based testing
33	Against a scourge
34	City youth falling prey to HIV
35	‘Don’t shy away from knowing your status’
36	News in Numbers: India’s HIV load, Maratha reservation, and more
37	Heroin seizures rise in Mizoram after ban on opioid painkillers
38	State takes a positive move
39	Red alert
40	‘Will try to extend health scheme benefits to affected persons’
41	Street plays, rallies mark World AIDS Day
42	AIDS: year-long programmes for State
43	Need to bring down HIV cases in State: AU V-C
44	Take utmost care to stop spread of HIV/AIDS: Judge
45	Cases decline due to awareness: Official
46	01hymmm01-QualiG6O52F3R33jpgjpg
47	The struggle is real
48	The struggle is real
49	Various events mark World AIDS Day
50	01decTVLWorldGF052ELBB3jpgjpg
51	Awareness events mark World AIDS Day in Coimbatore
52	Migrant workers still out of reach of HIV screening
53	th02-kra-standaGCT52FC9J2jpgjpg
54	The struggle is real
55	04bg-HIV-tankGG8D52T1CJ4jpgjpg
56	04bg-HIV-tankAG8D52T1CJ5jpgjpg
57	‘Crashes can be prevented’
58	Jaya panel examines neurologist
59	Transgenders protest before police station
60	‘Crashes can be prevented’
61	Transgenders protest before police station
62	The struggle is real
63	‘Many combination drugs not approved by regulator’
64	Lean out is the new lean in
65	Lean out is the new lean in
66	Queer art festival held
67	Queer art festival held
68	Lean out is the new lean in
69	Lean out is the new lean in
70	ENGAGEMENTS
71	Seven doctors held for dirty dancing
72	Lean out is the new lean in
73	Lean out is the new lean in
74	Pregnant woman tests positive for HIV after blood transfusion
75	Woman gets HIV after blood transfusion
76	Pregnant woman tests positive for HIV after blood transfusion in Tamil Nadu
77	Biotech Research Society honours professors
78	HIV testing
79	Migrant workers still out of reach of HIV screening
80	nd02-hivGU152IG0L52JCDS3jpgjpg
81	Don’t let the germs win, read this guide
82	The boundaries of ethics
83	The boundaries of ethics
84	WHO wants panel to study gene editing
85	After HIV scare, villagers emptying tank
86	Fear of HIV drives villagers to empty only water source
87	HIV blood transfusion to pregnant woman: 3 TN hospital employees dismissed
88	HIV case: unnamed doctors, nurses booked
89	HIV case: doctors, nurses booked
90	State govt. to give ‘high quality’ treatment to HIV-infected woman
91	Transfusion of HIV infected blood: TN govt. to give ‘high quality’ treatment to pregnant woman
92	TH27HIVINFECTEDWOMAN
93	26decmassr1HIG7656870M3jpgjpg
94	Shocking callousness
95	Woman tests positive for Hepatitis B
96	NHRC seeks report from Centre, State government
97	HC takes up case of woman getting HIV-positive blood
98	HIV awareness programme for students
99	Second screening of blood bags in govt. hospitals over
100	Blood bank inspected
101	Top news of the day: LS debates Triple Talaq Bill, 2 sailors killed at Kochi naval air station, and more
102	Morning Digest: BJP appoints campaign managers for 2019 elections, Gauri, Pansare kin to oppose CBI probe, and more
103	HIV reality check
104	NHRC issues notices to Centre, Tamil Nadu government
105	NHRC seeks report from Centre, State government
106	Madras HC takes up case of woman getting HIV-positive blood
107	A tragedy that deserves an intense investigation
108	NHRC issues notices to Centre, Tamil Nadu government
109	‘Lacunae in blood collection will be fixed’
110	She tests positive for hepatitis-B too
111	Blood transfusion: 200 years on
112	Stalin demands dismissalof Health Minister
113	HIV donor’s death: more doctors to do post mortem
114	SHRC seeks report on Sattur blood transfusion incident
115	Anchored in human rights
116	Anchored in human rights
117	Man demands details of treatment given to wife at GH
118	Do not create panic over blood transfusion: TNGDA
119	Salem woman alleges she received HIV infected blood
120	PMK to align with ‘like-minded parties’ for polls
121	HIV+ youth whose blood was given to pregnant woman dies
122	AIDS Control Society holds awareness rally
123	Pathologists threaten strike
124	AIDS Control Society holds awareness rally
125	Pathologists threaten strike
126	‘Focus on producing the best’
127	Dialysis unit for HIV patients
128	A long, tiring journey no longer
129	Focus on producing the best: Louganis
130	Experimental HIV vaccine found effective in monkeys: Study
131	A march for dignity, support
132	‘None will be spared in HIV blood transfusion case’
133	DMK’s medical wing demands dismissal of Vijaya Baskar
134	Tainted blood
135	A march for dignity, support
136	The lowdown on blood transfusions
137	HIV-infected youth dies
138	HIV positive blood donor dies after consuming poison
139	‘None will be spared in HIV blood transfusion case’
140	HIV+ woman seeks action against KMC
141	DMK’s medical wing demands dismissal of Vijaya Baskar
142	HIV crisis in TN: Tainted blood
143	‘Make blood screening mandatory for recipients’
144	PMK to align with like-minded parties for polls, says Anbumani
145	A year that saw health sector stained by transfusion blot
146	HIV+ youth whose blood was transfused to woman dies
147	Stalin demands dismissal of Health Minister
148	Salem woman alleges she received HIV infected blood
149	Ringing in New Year with children
150	A tragedy that deserves an intense investigation
151	Assembly session likely to be stormy
152	‘Purohit merely read out the government’s failure papers’
153	Post-mortem of HIV-infected youth performed
154	Assembly session likely to be stormy
155	Morning digest: UP farmers struggle to protect crops from raiding bulls, cows; record arrests of Rohingya in 2018, and more
156	Top news of the day: 11 killed in election violence in Bangladesh, veteran filmmaker Mrinal Sen passes away, and more
157	‘Purohit merely read out the government’s failure papers’
158	Direct benefit transfer scheme for TB patients makes slow progress
159	‘State needs a safe blood policy’
160	SCTIMST amps up blood safety
161	Haemodialysis centre for HIV-infected opened
162	SCTIMST amps up blood safety
163	International-HGIN54KT023jpgjpg
164	‘State needs a safe blood policy’
165	‘Precarious family milieu forces children to homes’
166	HIV no bar as Jharkhand woman donates kidney to husband
167	Centre drafts child protection policy
168	Second screening of blood bags in govt. hospitals over
169	Medical team visits Sivakasi GH to probe into HIV blood transfusion
170	Yadadri sex racket accused move HC to meet children
171	Centre drafts child protection policy
172	Seven doctors held for dirty dancing
173	Yadadri sex racket accused move HC to meet children
174	HIV no bar as Jharkhand woman donates kidney to husband
175	Girls who eloped kept at govt. homes, finds NCW study
176	Blood transfusion
177	Woman claims to have been given HIV-infected blood
178	Lean out is the new lean in
179	Woman claims KMC gave her HIV
180	Land, housing allocated to HIV-infected woman
181	Land, housing allocated to HIV-infected woman
182	HIV+ woman seeks action against KMC
183	A year that saw health sector stained by transfusion blot
184	‘WHO guidelines on TB must be followed’
185	Stitching up cartoons on social issues
186	Blood safety
187	Self-taught cartoonist from Andhra gets accolades in S. Korea, China
188	Indian Science Congress: Principal Scientific Adviser wants complaint lodged against VC's pseudoscience talk
189	‘Pseudo-scientific discourse unfortunate’
190	Zero governance triggering stirs: Stalin
191	aids
192	After funding farmers, Odisha to finance graduate, PG students from underprivileged backgrounds
193	Trans activists up the ante, to challenge Bill
194	Zero governance triggering stirs: Stalin
195	Trans activists up the ante, to challenge Bill
196	HIV, AIDS cases on the decline: officer
197	HIV viral load checking facility soon at CMCH
198	HIV infection: A.P., Telangana rank fourth in country, says doc
199	HIV prevalence rate declines in Coimbatore
200	China halts work by team on gene-edited babies
201	‘China halts work on gene-editing babies’
